Accession_number	Protein_name	GO_ID
Q5UCC4	ER membrane protein complex subunit 10	{'GO:0032977', 'GO:0010595', 'GO:0072546', 'GO:0005789', 'GO:0016020', 'GO:0005576', 'GO:0045050', 'GO:0045766', 'GO:0001938', 'GO:0071816'}
Q5VIY5	Zinc finger protein 468	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q5VTD9	Zinc finger protein Gfi-1b	{'GO:0000978', 'GO:0001228', 'GO:1990837', 'GO:0005654', 'GO:0005667', 'GO:0000122', 'GO:2000134', 'GO:0045944', 'GO:0005634', 'GO:0000981', 'GO:0016363', 'GO:0005515', 'GO:0006357', 'GO:0061629', 'GO:1903706'}
Q5VV52	Zinc finger protein 691	{'GO:0000978', 'GO:0005634', 'GO:0003700', 'GO:0005515', 'GO:0006357'}
Q5VWI1	Transcription elongation regulator 1-like protein	{'GO:0070063', 'GO:0003712', 'GO:0005634'}
Q5VYX0	Renalase	{'GO:0071871', 'GO:0005515', 'GO:0097621', 'GO:0045776', 'GO:0016651', 'GO:0070404', 'GO:1902074', 'GO:0071869', 'GO:0005576', 'GO:0002931', 'GO:0016491', 'GO:0051379', 'GO:0010459'}
Q5VZF2	Muscleblind-like protein 2	{'GO:1990837', 'GO:0003723', 'GO:0046872', 'GO:0005634', 'GO:0043484', 'GO:0005737', 'GO:0005515', 'GO:0005654'}
Q60I27	ALS2 C-terminal-like protein	{'GO:0005829', 'GO:0005515', 'GO:0016197', 'GO:0031267', 'GO:0005737', 'GO:0031410', 'GO:0005085'}
Q63HK3	Zinc finger protein with KRAB and SCAN domains 2	{'GO:0000978', 'GO:1990837', 'GO:0006355', 'GO:0003700', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q658L1	Stabilizer of axonemal microtubules 2	{'GO:0005814', 'GO:0005856', 'GO:0005879', 'GO:0036126', 'GO:0008017', 'GO:0036064', 'GO:0005515'}
Q66K89	Transcription factor E4F1	{'GO:0061630', 'GO:0001227', 'GO:0000978', 'GO:0003677', 'GO:0005819', 'GO:0051726', 'GO:0061629', 'GO:0010564', 'GO:0005737', 'GO:0045944', 'GO:0005515', 'GO:0006357', 'GO:0001228', 'GO:0016567', 'GO:0000977', 'GO:0000122', 'GO:0035497', 'GO:0003700', 'GO:0005634', 'GO:0005654'}
Q68BL7	Olfactomedin-like protein 2A	{'GO:0031012', 'GO:0007165', 'GO:0042802', 'GO:0005576', 'GO:0050840'}
Q68BL8	Olfactomedin-like protein 2B	{'GO:0031012', 'GO:0007165', 'GO:0042802', 'GO:0005576', 'GO:0050840'}
Q68CJ9	Cyclic AMP-responsive element-binding protein 3-like protein 3	{'GO:0000139', 'GO:0042803', 'GO:0034976', 'GO:0005789', 'GO:0000978', 'GO:0005829', 'GO:0000785', 'GO:0000981', 'GO:0042802', 'GO:0045944', 'GO:0005515', 'GO:0006357', 'GO:0001228', 'GO:0005783', 'GO:0046982', 'GO:0016020', 'GO:0002675', 'GO:0000977', 'GO:0006355', 'GO:0003700', 'GO:0005634', 'GO:0000976', 'GO:0005654'}
Q68DI1	Zinc finger protein 776	{'GO:0000978', 'GO:0006355', 'GO:0045892', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q68DY1	Zinc finger protein 626	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q68DY9	Zinc finger protein 772	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q68EA5	Zinc finger protein 57	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q6A162	Keratin, type I cytoskeletal 40	{'GO:0005829', 'GO:0045109', 'GO:0005856', 'GO:0005198', 'GO:0030280', 'GO:0030855', 'GO:0005515', 'GO:0002009', 'GO:0045095'}
Q6A163	Keratin, type I cytoskeletal 39	{'GO:0005829', 'GO:0045109', 'GO:0005856', 'GO:0005198', 'GO:0030280', 'GO:0030855', 'GO:0005515', 'GO:0002009', 'GO:0045095'}
Q6AW86	Zinc finger protein 324B	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q6AZW8	Zinc finger protein 660	{'GO:0000978', 'GO:1990837', 'GO:0003700', 'GO:0005634', 'GO:0005515', 'GO:0006357'}
Q6DD87	Zinc finger protein 787	{'GO:1990837', 'GO:0043565', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q6DJT9	Zinc finger protein PLAG1	{'GO:0000978', 'GO:0001228', 'GO:0005654', 'GO:0000977', 'GO:0006355', 'GO:0003700', 'GO:0060252', 'GO:0000981', 'GO:0005634', 'GO:0016604', 'GO:0045944', 'GO:0010629', 'GO:0016607', 'GO:0010628'}
Q6ECI4	Zinc finger protein 470	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0016604', 'GO:0006357', 'GO:0005654'}
Q6GPH4	XIAP-associated factor 1	{'GO:0005829', 'GO:0035456', 'GO:0140313', 'GO:0008270', 'GO:0005739', 'GO:0005634', 'GO:0005737', 'GO:0032480', 'GO:0005515', 'GO:0005654', 'GO:0006915'}
Q6H8Q1	Actin-binding LIM protein 2	{'GO:0051015', 'GO:0030032', 'GO:0030016', 'GO:0015629', 'GO:0007010', 'GO:0005737', 'GO:0005515', 'GO:0003779'}
Q6IE81	Protein Jade-1	{'GO:0045893', 'GO:0005886', 'GO:0043995', 'GO:0090090', 'GO:0003713', 'GO:0005829', 'GO:0000123', 'GO:0051726', 'GO:0006338', 'GO:2000134', 'GO:2000278', 'GO:0005737', 'GO:0005515', 'GO:0006357', 'GO:0043997', 'GO:0001558', 'GO:0030308', 'GO:0140566', 'GO:0005694', 'GO:0016607', 'GO:0006915', 'GO:0006275', 'GO:0006355', 'GO:0005634', 'GO:0043996', 'GO:0036408', 'GO:0036064', 'GO:0005654'}
Q6IQ21	Zinc finger protein 770	{'GO:0000976', 'GO:0006357', 'GO:0005634'}
Q6IV72	Zinc finger protein 425	{'GO:0000977', 'GO:0006355', 'GO:0045892', 'GO:0005634', 'GO:0000981', 'GO:0005737', 'GO:0005515', 'GO:0006357', 'GO:0005654'}
Q6MZQ0	Proline-rich protein 5-like	{'GO:0090316', 'GO:0034599', 'GO:0031625', 'GO:0031932', 'GO:0010762', 'GO:0061014', 'GO:0001933', 'GO:0038203', 'GO:0005515', 'GO:0051897', 'GO:0019887'}
Q6MZW2	Follistatin-related protein 4	{'GO:0030141', 'GO:0030154', 'GO:0005509', 'GO:0048403', 'GO:0005576', 'GO:0140311'}
Q6N043	Zinc finger protein 280D	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q6NSI8	SANT and BTB domain regulator of class switch recombination	{'GO:0045190', 'GO:0042802'}
Q6NUJ1	Proactivator polypeptide-like 1	{'GO:0005829', 'GO:0005764', 'GO:0006629', 'GO:0005737', 'GO:0005576', 'GO:0006665', 'GO:0019216', 'GO:0007193'}
Q6NVV9	Putative disintegrin and metalloproteinase domain-containing protein 5	{'GO:0008150', 'GO:0003674', 'GO:0005575'}
Q6NX45	Zinc finger protein 774	{'GO:0000978', 'GO:0005634', 'GO:0000981', 'GO:0045111', 'GO:0005515', 'GO:0006357'}
Q6NX49	Zinc finger protein 544	{'GO:0006355', 'GO:0005634', 'GO:0000976', 'GO:0005515', 'GO:0006357'}
Q6P1K8	General transcription factor IIH subunit 2-like protein	{'GO:0000439', 'GO:0000438', 'GO:0016251', 'GO:0006351', 'GO:0008270', 'GO:0006281', 'GO:0005634', 'GO:0006367', 'GO:0005515', 'GO:0006289'}
Q6P1L6	Zinc finger protein 343	{'GO:1990837', 'GO:0000977', 'GO:0006355', 'GO:0043565', 'GO:0008270', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q6P1R4	tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like	{'GO:0008033', 'GO:0002943', 'GO:0102263', 'GO:0050660', 'GO:0005634', 'GO:0005737', 'GO:0017150', 'GO:0005515', 'GO:0102262'}
Q6P280	Zinc finger protein 529	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q6P2D0	Zinc finger protein 1 homolog	{'GO:0000978', 'GO:1990837', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q6P3S6	F-box only protein 42	{'GO:0031146', 'GO:0005634', 'GO:0019005', 'GO:1990756', 'GO:0005515'}
Q6P3V2	Zinc finger protein 585A	{'GO:0003677', 'GO:0006355', 'GO:0005634', 'GO:0000976', 'GO:0006357'}
Q6P3X8	PiggyBac transposable element-derived protein 2	{'GO:0043565'}
Q6P9A1	Zinc finger protein 530	{'GO:0000978', 'GO:0000122', 'GO:0006355', 'GO:0001227', 'GO:0043565', 'GO:0005634', 'GO:0000981', 'GO:0006357', 'GO:0005654'}
Q6P9A3	Zinc finger protein 549	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q6P9F5	E3 ubiquitin ligase TRIM40	{'GO:0061630', 'GO:0046872', 'GO:0008270', 'GO:0043124', 'GO:1900181', 'GO:0005737', 'GO:0008385', 'GO:0005515', 'GO:0045087', 'GO:1901223', 'GO:0042177', 'GO:0045116'}
Q6P9G9	Zinc finger protein 449	{'GO:0000978', 'GO:1990837', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q6PCT2	F-box/LRR-repeat protein 19	{'GO:0003677', 'GO:0005829', 'GO:0043161', 'GO:0031146', 'GO:0008270', 'GO:0005634', 'GO:0005737', 'GO:0019005', 'GO:1990756', 'GO:0045322', 'GO:0005515'}
Q6PDB4	Zinc finger protein 880	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q6PF04	Zinc finger protein 613	{'GO:0000978', 'GO:0006355', 'GO:0003700', 'GO:0005634', 'GO:0005515', 'GO:0006357'}
Q6PF15	Kelch-like protein 35	{'GO:0043161', 'GO:0005737', 'GO:1990756', 'GO:0005515', 'GO:0031463'}
Q6PG37	Zinc finger protein 790	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q6PJ21	SPRY domain-containing SOCS box protein 3	{'GO:0005829', 'GO:0043161', 'GO:0006511', 'GO:0005634', 'GO:0016567', 'GO:0010719', 'GO:1990756', 'GO:0160049', 'GO:0019005', 'GO:0005515', 'GO:0031466', 'GO:0070936'}
Q6PJ61	F-box only protein 46	{'GO:0031146', 'GO:0016567', 'GO:0019005', 'GO:1990756', 'GO:0005515'}
Q6PJE2	POM121 and ZP3 fusion protein	{'GO:0140149'}
Q6PJF5	Inactive rhomboid protein 2	{'GO:0005796', 'GO:0005886', 'GO:0045747', 'GO:0005789', 'GO:0050708', 'GO:0071335', 'GO:0038024', 'GO:0005737', 'GO:0005515', 'GO:0042058', 'GO:0035315', 'GO:0016020', 'GO:0016192', 'GO:0002862', 'GO:0031069', 'GO:0051604', 'GO:0010467', 'GO:0050709', 'GO:0012505'}
Q6PJI9	GATOR2 complex protein WDR59	{'GO:1904263', 'GO:1904262', 'GO:0035591', 'GO:0005774', 'GO:0035859', 'GO:0005765', 'GO:0061700', 'GO:0034198', 'GO:0005515', 'GO:0031669', 'GO:0072659'}
Q6PJT7	Zinc finger CCCH domain-containing protein 14	{'GO:0003730', 'GO:0016607', 'GO:1904115', 'GO:0036002', 'GO:0003723', 'GO:1990904', 'GO:0046872', 'GO:0005634', 'GO:0160091', 'GO:0005737', 'GO:0032839', 'GO:0007283', 'GO:0005515', 'GO:0043488', 'GO:0008143', 'GO:0048255'}
Q6PK81	Zinc finger protein 773	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q6PKC3	Thioredoxin domain-containing protein 11	{'GO:0005829', 'GO:0005515', 'GO:0005886', 'GO:0005789'}
Q6Q0C0	E3 ubiquitin-protein ligase TRAF7	{'GO:0061630', 'GO:0004842', 'GO:2001235', 'GO:0043525', 'GO:0035519', 'GO:0043410', 'GO:0008270', 'GO:0070372', 'GO:0051247', 'GO:2000060', 'GO:0016567', 'GO:0005634', 'GO:0005737', 'GO:0000151', 'GO:0031410', 'GO:0005515', 'GO:0006915'}
Q6S5L8	SHC-transforming protein 4	{'GO:0035556', 'GO:0005886', 'GO:0030971', 'GO:0019904', 'GO:0045211', 'GO:0007169', 'GO:0005515'}
Q6S9Z5	Zinc finger protein 474	{'GO:0005515'}
Q6UW56	All-trans retinoic acid-induced differentiation factor	{'GO:0045669', 'GO:0005635', 'GO:0005886', 'GO:0042910', 'GO:0006855', 'GO:0033689', 'GO:0042177', 'GO:0005765', 'GO:0005515', 'GO:0030501', 'GO:0048471', 'GO:0010468'}
Q6UW60	Proprotein convertase subtilisin/kexin type 4	{'GO:0009566', 'GO:0000139', 'GO:0005802', 'GO:0006508', 'GO:0001669', 'GO:0007339', 'GO:0016486', 'GO:0022414', 'GO:0004252', 'GO:0048240', 'GO:0016020', 'GO:0016485', 'GO:0005515', 'GO:0008236', 'GO:0002080', 'GO:0007340'}
Q6UWL2	Sushi domain-containing protein 1	{'GO:0016020', 'GO:0005509'}
Q6UWV2	Myelin protein zero-like protein 3	{'GO:0005515', 'GO:0016020', 'GO:0005886'}
Q6UXD5	Seizure 6-like protein 2	{'GO:0005783', 'GO:0005886', 'GO:0008344', 'GO:0060074', 'GO:0005789', 'GO:0021680', 'GO:0043025'}
Q6UXF7	C-type lectin domain family 18 member B	{'GO:0005783', 'GO:0005794', 'GO:0016529', 'GO:0005576', 'GO:0005768', 'GO:0030247', 'GO:0060090'}
Q6UXH1	Protein disulfide isomerase CRELD2	{'GO:0005783', 'GO:0005794', 'GO:0031012', 'GO:0003756', 'GO:0005509', 'GO:0005576', 'GO:0005515', 'GO:0140149'}
Q6UXH8	Collagen and calcium-binding EGF domain-containing protein 1	{'GO:0010954', 'GO:1901492', 'GO:0048845', 'GO:0031012', 'GO:0010575', 'GO:0005509', 'GO:0001946', 'GO:0002040', 'GO:0005576', 'GO:0005515', 'GO:0045766', 'GO:0002020', 'GO:0005518', 'GO:1900748'}
Q6UXH9	Inactive serine protease PAMR1	{'GO:0005576', 'GO:0005509'}
Q6UXI9	Nephronectin	{'GO:0005201', 'GO:0045669', 'GO:0001658', 'GO:0031012', 'GO:0005509', 'GO:0001657', 'GO:0030198', 'GO:0010811', 'GO:0005178', 'GO:0033631', 'GO:0070374', 'GO:0016020', 'GO:0007160', 'GO:0005576', 'GO:0070062', 'GO:0140144', 'GO:0071356'}
Q6UXZ4	Netrin receptor UNC5D	{'GO:0005886', 'GO:0007165', 'GO:0038007', 'GO:0007411', 'GO:0098609', 'GO:0016020', 'GO:0005042'}
Q6UY11	Protein delta homolog 2	{'GO:0005509', 'GO:0005112', 'GO:0042802', 'GO:0016020', 'GO:0045746', 'GO:0045598'}
Q6UY18	Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 4	{'GO:0005886', 'GO:0038023', 'GO:0016020'}
Q6V9R5	Zinc finger protein 562	{'GO:0000978', 'GO:1990837', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q6VAB6	Kinase suppressor of Ras 2	{'GO:0019722', 'GO:0000165', 'GO:0005829', 'GO:0005078', 'GO:0007265', 'GO:0005886', 'GO:0004674', 'GO:0004672', 'GO:0031434', 'GO:0120162', 'GO:0005737', 'GO:0016020', 'GO:0106310', 'GO:0005524', 'GO:0005515'}
Q6WN34	Chordin-like protein 2	{'GO:0032502', 'GO:0030154', 'GO:0036122', 'GO:0005737', 'GO:0005576', 'GO:0005515', 'GO:0030514'}
Q6XR72	Calcium/manganese antiporter SLC30A10	{'GO:0000139', 'GO:0006828', 'GO:0140048', 'GO:0055037', 'GO:0005886', 'GO:0031410', 'GO:0005769', 'GO:0012506', 'GO:1902495', 'GO:0070374', 'GO:0005515', 'GO:0006882', 'GO:0005384', 'GO:0071577', 'GO:0055038', 'GO:0005385', 'GO:1904385', 'GO:0055085', 'GO:0016020', 'GO:0031901', 'GO:0140983', 'GO:0005765', 'GO:0006812', 'GO:0062111', 'GO:0055071', 'GO:0007173', 'GO:0005794', 'GO:0140828', 'GO:0030026', 'GO:0030001', 'GO:0006816', 'GO:0010312', 'GO:0008324'}
Q6ZMS4	Zinc finger protein 852	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q6ZMS7	Zinc finger protein 783	{'GO:0000978', 'GO:0006355', 'GO:0003700', 'GO:0005634', 'GO:0042802', 'GO:0005515'}
Q6ZMU5	Tripartite motif-containing protein 72	{'GO:0061630', 'GO:0043161', 'GO:0042383', 'GO:0051260', 'GO:0031435', 'GO:0001778', 'GO:0008270', 'GO:0042802', 'GO:0016567', 'GO:0005737', 'GO:0030659', 'GO:0005515', 'GO:0001786', 'GO:0003012', 'GO:0007517', 'GO:0045087', 'GO:0031624'}
Q6ZMV8	Putative zinc finger protein 730	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q6ZMW2	Zinc finger protein 782	{'GO:0006355', 'GO:0000976', 'GO:0000122', 'GO:0005634'}
Q6ZMY6	WD repeat-containing protein 88	{'GO:0005515'}
Q6ZMY9	Zinc finger protein 517	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357', 'GO:0005654'}
Q6ZN06	Zinc finger protein 813	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q6ZN08	Zinc finger protein 66	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q6ZN11	Zinc finger protein 793	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q6ZN17	Protein lin-28 homolog B	{'GO:0003723', 'GO:0008270', 'GO:0005829', 'GO:0003729', 'GO:0050779', 'GO:2000635', 'GO:0005737', 'GO:0010608', 'GO:0005515', 'GO:0031054', 'GO:0005730', 'GO:1990837', 'GO:0031123', 'GO:0010587', 'GO:0005634', 'GO:2000627', 'GO:0003676', 'GO:2000632', 'GO:0005654'}
Q6ZN18	Zinc finger protein AEBP2	{'GO:0035098', 'GO:0005654', 'GO:0000122', 'GO:0000785', 'GO:0005634', 'GO:0031507', 'GO:0005515', 'GO:0006357', 'GO:0003712'}
Q6ZN19	Zinc finger protein 841	{'GO:1990837', 'GO:0000976', 'GO:0000122', 'GO:0005634'}
Q6ZN32	ETS translocation variant 3-like protein	{'GO:0030154', 'GO:0006355', 'GO:0043565', 'GO:0003700', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q6ZN54	Differentially expressed in FDCP 8 homolog	{'GO:0032418', 'GO:0005515', 'GO:0045780', 'GO:1900029'}
Q6ZN55	Zinc finger protein 574	{'GO:1990116', 'GO:0042256', 'GO:0090069', 'GO:0005634', 'GO:0043023', 'GO:0000976', 'GO:0005737', 'GO:0005515', 'GO:0006357'}
Q6ZN57	Zinc finger protein ZFP2	{'GO:0000978', 'GO:1990837', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q6ZN79	Zinc finger protein 705A	{'GO:0000977', 'GO:0000785', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q6ZNB6	NF-X1-type zinc finger protein NFXL1	{'GO:0000977', 'GO:0000785', 'GO:0006355', 'GO:0008270', 'GO:0003700', 'GO:0000981', 'GO:0005634', 'GO:0016020', 'GO:0006357'}
Q6ZNE9	RUN and FYVE domain-containing protein 4	{'GO:0071353', 'GO:0005776', 'GO:0051050', 'GO:0005764', 'GO:0007033', 'GO:0034452', 'GO:0045921', 'GO:0032266', 'GO:0045780', 'GO:2001019', 'GO:0036019', 'GO:0061763', 'GO:0000045', 'GO:0016239', 'GO:0005515'}
Q6ZNG1	Zinc finger protein 600	{'GO:0005515', 'GO:0000976', 'GO:0000122', 'GO:0005634'}
Q6ZNH5	Zinc finger protein 497	{'GO:0000978', 'GO:0045892', 'GO:0043565', 'GO:0003700', 'GO:0005634', 'GO:0005515', 'GO:0006357'}
Q6ZNI0	Probable beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 7	{'GO:0008375', 'GO:0016020', 'GO:0000139', 'GO:0016757'}
Q6ZR52	Zinc finger protein 493	{'GO:0000122', 'GO:0001227', 'GO:0005634', 'GO:0000976', 'GO:0005515', 'GO:0006357'}
Q6ZRF8	RING finger protein 207	{'GO:0030544', 'GO:0044325', 'GO:0051087', 'GO:1901207', 'GO:0046872', 'GO:0008270', 'GO:0005737', 'GO:0055117', 'GO:1905033', 'GO:0005515', 'GO:1905026', 'GO:0048471', 'GO:0010628'}
Q6ZS27	Zinc finger protein 662	{'GO:0000978', 'GO:0006355', 'GO:0003700', 'GO:0005634', 'GO:0005515', 'GO:0006357'}
Q6ZSB9	Zinc finger and BTB domain-containing protein 49	{'GO:0000978', 'GO:0003677', 'GO:0000122', 'GO:0002682', 'GO:0045893', 'GO:0051726', 'GO:0140297', 'GO:0001227', 'GO:0043565', 'GO:0045944', 'GO:0005634', 'GO:0001817', 'GO:0001223', 'GO:0005737', 'GO:0005515', 'GO:0006357', 'GO:0005654', 'GO:0008285'}
Q6ZT77	Putative zinc finger protein 826	{'GO:0006355', 'GO:0005634', 'GO:0003700'}
Q6ZTA4	Tripartite motif-containing protein 67	{'GO:0005737', 'GO:0032880', 'GO:0005856', 'GO:0008270'}
Q6ZTB9	Putative zinc finger protein 833	{'GO:0045893', 'GO:0043565', 'GO:0005634', 'GO:0003700', 'GO:0005694', 'GO:0010468'}
Q6ZVD7	Storkhead-box protein 1	{'GO:0010971', 'GO:1901858', 'GO:0045787', 'GO:0007346', 'GO:0010468', 'GO:0051881', 'GO:0010628', 'GO:0010821', 'GO:0005829', 'GO:1902882', 'GO:0071500', 'GO:0005737', 'GO:0005515', 'GO:0006357', 'GO:0010629', 'GO:0010800', 'GO:1904031', 'GO:0005730', 'GO:1900087', 'GO:0005938', 'GO:1904120', 'GO:0033138', 'GO:0000977', 'GO:0048839', 'GO:0001650', 'GO:0005813', 'GO:0003700', 'GO:0005634', 'GO:0051897', 'GO:0005654'}
Q6ZVN8	Hemojuvelin	{'GO:0060586', 'GO:0005886', 'GO:0032924', 'GO:0070724', 'GO:1990712', 'GO:0009986', 'GO:0098821', 'GO:0016540', 'GO:0045944', 'GO:0005515', 'GO:0005102', 'GO:0030509', 'GO:0036122', 'GO:0071773', 'GO:0015026', 'GO:0005576', 'GO:0000122', 'GO:1990459', 'GO:0006879', 'GO:0098797'}
Q6ZW61	Chaperonin-containing T-complex member BBS12	{'GO:0045494', 'GO:0005929', 'GO:0045599', 'GO:0051131', 'GO:0005524', 'GO:0005515'}
Q6ZWE6	Pleckstrin homology domain-containing family M member 3	{'GO:0005886', 'GO:0005737', 'GO:0005794', 'GO:0045445'}
Q75N03	E3 ubiquitin-protein ligase Hakai	{'GO:0005829', 'GO:0036396', 'GO:0061630', 'GO:0030155', 'GO:0004842', 'GO:0006397', 'GO:0045807', 'GO:0005634', 'GO:0098609', 'GO:0042802', 'GO:0016567', 'GO:0005737', 'GO:0000151', 'GO:0005515', 'GO:0005654', 'GO:0007162', 'GO:0016607', 'GO:0030335'}
Q76KX8	Zinc finger protein 534	{'GO:0000978', 'GO:1990837', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q7L0X2	Glutamate-rich protein 6	{'GO:0005634'}
Q7L2R6	Zinc finger protein 765	{'GO:0000978', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q7L3S4	Zinc finger protein 771	{'GO:1990837', 'GO:0005730', 'GO:0005634', 'GO:0000981', 'GO:0006357', 'GO:0005654'}
Q7L5Y9	E3 ubiquitin-protein transferase MAEA	{'GO:0005829', 'GO:0033033', 'GO:0061630', 'GO:0043161', 'GO:0005819', 'GO:0004842', 'GO:0005826', 'GO:0005856', 'GO:0005886', 'GO:0005634', 'GO:0034657', 'GO:0015629', 'GO:0005737', 'GO:0016363', 'GO:0007346', 'GO:0005654', 'GO:0007155', 'GO:0003779'}
Q7L945	Zinc finger protein 627	{'GO:0000977', 'GO:0006355', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q7LFX5	Carbohydrate sulfotransferase 15	{'GO:0050659', 'GO:0000139', 'GO:0019319', 'GO:0050651', 'GO:0008146', 'GO:0016020', 'GO:0005515', 'GO:0050650', 'GO:0050656'}
Q7RTV3	Zinc finger protein 367	{'GO:0000978', 'GO:0005634', 'GO:0003700', 'GO:0000981', 'GO:0006357', 'GO:0005654'}
Q7RTY8	Transmembrane protease serine 7	{'GO:0005886', 'GO:0004252', 'GO:0016485', 'GO:0006508', 'GO:0008236'}
Q7Z2W4	Zinc finger CCCH-type antiviral protein 1	{'GO:0032727', 'GO:0071360', 'GO:0003723', 'GO:0032728', 'GO:0005829', 'GO:0005770', 'GO:0043123', 'GO:0046872', 'GO:0005737', 'GO:0005515', 'GO:0009615', 'GO:0061014', 'GO:0045296', 'GO:0016020', 'GO:1900246', 'GO:0045071', 'GO:0005764', 'GO:0005634', 'GO:0140517'}
Q7Z340	Zinc finger protein 551	{'GO:0000978', 'GO:0006355', 'GO:0045892', 'GO:0005634', 'GO:0000981', 'GO:0006357'}
Q7Z398	Zinc finger protein 550	{'GO:0000977', 'GO:0006355', 'GO:0045892', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0006357'}
Q7Z3I7	Zinc finger protein 572	{'GO:0000978', 'GO:0000122', 'GO:0002682', 'GO:0001227', 'GO:0005634', 'GO:0001817', 'GO:0042802', 'GO:0005515', 'GO:0005654'}
Q7Z3S9	Notch homolog 2 N-terminal-like protein A	{'GO:0021987', 'GO:0045747', 'GO:0005509', 'GO:0005112', 'GO:0005737', 'GO:0005576', 'GO:0005515'}
Q7Z403	Transmembrane channel-like protein 6	{'GO:0035579', 'GO:0000139', 'GO:0008381', 'GO:0005783', 'GO:0005794', 'GO:0005886', 'GO:0070821', 'GO:0005789', 'GO:0005737', 'GO:0016020', 'GO:0031965', 'GO:0070062', 'GO:0050821', 'GO:0005515', 'GO:0006882', 'GO:0034220'}
Q7Z4F1	Low-density lipoprotein receptor-related protein 10	{'GO:0005041', 'GO:0005886', 'GO:0016020', 'GO:0016192', 'GO:0005515'}
Q7Z4K8	Tripartite motif-containing protein 46	{'GO:1904115', 'GO:0048490', 'GO:0005856', 'GO:0030424', 'GO:0008270', 'GO:0044304', 'GO:0032880', 'GO:0030517', 'GO:0001578', 'GO:0043194', 'GO:0001764', 'GO:0007409', 'GO:1901953', 'GO:1990769'}
Q7Z5L7	Podocan	{'GO:0031012', 'GO:0140150', 'GO:0005737', 'GO:0005576', 'GO:0030336', 'GO:0030021', 'GO:0005515', 'GO:0008285', 'GO:0005518'}
Q7Z6R9	Transcription factor AP-2-delta	{'GO:0001228', 'GO:0005667', 'GO:0000977', 'GO:0000785', 'GO:0006355', 'GO:0045944', 'GO:0003700', 'GO:0005634', 'GO:0000981', 'GO:0005515', 'GO:0042127'}
Q7Z713	Ankyrin repeat domain-containing protein 37	{'GO:0005829', 'GO:0005634', 'GO:0005737', 'GO:0005515', 'GO:0005654'}
Q7Z736	Pleckstrin homology domain-containing family H member 3	{'GO:0005856', 'GO:0005576'}
